,t,T,s,i,f,L,o,c,h,l,v,n,x,q,V,Q,B,ma
233,1642047000000,1642047299999,ETHUSDT,5m,729345083,729347045,3344.33000000,3342.03,3346.20000000,3340.49000000,605.99210000,1963,True,2026348.76398000,313.03010000,1046584.50210700,0,3344.6226
234,1642047300000,1642047599999,ETHUSDT,5m,729347046,729349849,3342.03000000,3346.9,3352.67000000,3341.29000000,1171.22860000,2804,True,3923312.88506000,656.66120000,2199451.51285000,0,3343.9956
235,1642047600000,1642047899999,ETHUSDT,5m,729349850,729351736,3346.91000000,3346.06,3347.67000000,3345.00000000,641.93090000,1887,True,2148129.44046000,341.77130000,1143682.70035000,0,3343.4524
236,1642047900000,1642048199999,ETHUSDT,5m,729351737,729353550,3346.07000000,3349.34,3349.44000000,3342.96000000,607.25480000,1814,True,2032008.28188100,388.38710000,1299698.04696500,0,3343.0169999999994
237,1642048200000,1642048499999,ETHUSDT,5m,729353551,729355058,3349.44000000,3344.96,3349.44000000,3344.13000000,264.48920000,1508,True,884849.34622200,126.53490000,423288.11713200,0,3342.4852
238,1642048500000,1642048799999,ETHUSDT,5m,729355059,729356783,3344.95000000,3347.66,3349.22000000,3344.78000000,569.04150000,1725,True,1904596.91335800,296.28770000,991680.28571800,0,3342.0018000000005
239,1642048800000,1642049099999,ETHUSDT,5m,729356784,729358353,3347.66000000,3347.57,3349.60000000,3346.17000000,266.72710000,1570,True,892905.13886700,186.02670000,622748.34471700,0,3341.4794
240,1642049100000,1642049399999,ETHUSDT,5m,729358354,729360525,3347.57000000,3339.5,3347.59000000,3338.07000000,897.69680000,2172,True,3001329.68417200,475.74670000,1590992.76007800,0,3340.8476
241,1642049400000,1642049699999,ETHUSDT,5m,729360526,729362892,3339.50000000,3339.53,3339.54000000,3333.96000000,805.01900000,2367,True,2686140.06886500,311.29840000,1038671.77921200,0,3340.3568
242,1642049700000,1642049999999,ETHUSDT,5m,729362893,729364528,3339.53000000,3336.92,3340.30000000,3335.40000000,496.59930000,1636,True,1657734.48095300,250.97270000,837860.83912100,0,3339.9154
243,1642050000000,1642050299999,ETHUSDT,5m,729364529,729366773,3336.92000000,3340.65,3343.28000000,3330.00000000,2239.47990000,2245,True,7470435.99879700,572.19670000,1910998.45079100,0,3339.6574
244,1642050300000,1642050599999,ETHUSDT,5m,729366774,729369506,3340.65000000,3332.7,3340.81000000,3330.00000000,1411.85350000,2733,True,4706090.32072400,651.13320000,2170132.39320900,0,3339.2364000000002
245,1642050600000,1642050899999,ETHUSDT,5m,729369507,729371287,3332.70000000,3325.42,3332.71000000,3324.10000000,1029.28150000,1781,True,3425725.08935800,250.93850000,834895.94561100,0,3338.7082
246,1642050900000,1642051199999,ETHUSDT,5m,729371288,729372721,3325.41000000,3331.1,3331.10000000,3324.43000000,621.82040000,1434,True,2068922.98771900,355.23930000,1181871.26135100,0,3338.2302
247,1642051200000,1642051499999,ETHUSDT,5m,729372722,729374103,3331.10000000,3332.4,3333.46000000,3327.43000000,492.68410000,1382,True,1640968.42243200,208.51360000,694412.19650000,0,3337.692
248,1642051500000,1642051799999,ETHUSDT,5m,729374104,729375695,3332.41000000,3336.27,3338.08000000,3331.87000000,734.71180000,1592,True,2449825.67852400,427.95100000,1427119.52005200,0,3337.2584
249,1642051800000,1642052099999,ETHUSDT,5m,729375696,729377236,3336.28000000,3333.9,3339.86000000,3333.38000000,661.74080000,1541,True,2207859.16547400,338.58660000,1129603.35899600,0,3336.8885999999998
250,1642052100000,1642052399999,ETHUSDT,5m,729377237,729378236,3333.91000000,3336.93,3337.93000000,3333.00000000,373.62120000,1000,True,1246147.18366500,158.69470000,529345.50245800,0,3336.7212
251,1642052400000,1642052699999,ETHUSDT,5m,729378237,729379207,3336.94000000,3334.37,3337.12000000,3332.38000000,450.98160000,971,True,1503956.24353500,200.39470000,668165.91978100,0,3336.6020000000003
252,1642052700000,1642052999999,ETHUSDT,5m,729379208,729380477,3334.37000000,3336.16,3336.85000000,3330.77000000,573.10640000,1270,True,1910960.90012400,228.45640000,761677.95939000,0,3336.5612
253,1642053000000,1642053299999,ETHUSDT,5m,729380478,729382003,3336.16000000,3341.25,3343.31000000,3336.10000000,883.71870000,1526,True,2950777.99113300,548.03200000,1829725.72979200,0,3336.7088
254,1642053300000,1642053599999,ETHUSDT,5m,729382004,729382991,3341.26000000,3337.01,3341.44000000,3337.00000000,391.89960000,988,True,1308618.40139100,111.05750000,370851.55527800,0,3336.6514
255,1642053600000,1642053899999,ETHUSDT,5m,729382992,729384526,3337.01000000,3341.55,3342.32000000,3335.36000000,633.71850000,1535,True,2115514.55761200,269.77000000,900547.44869700,0,3336.7104
256,1642053900000,1642054199999,ETHUSDT,5m,729384527,729386054,3341.56000000,3336.78,3343.61000000,3336.00000000,544.71210000,1528,True,1819389.27789400,228.52990000,763552.56970500,0,3336.7698
257,1642054200000,1642054499999,ETHUSDT,5m,729386055,729387317,3336.78000000,3338.56,3339.73000000,3335.00000000,361.86010000,1263,True,1207637.17132100,199.62580000,666291.54821200,0,3336.7626
258,1642054500000,1642054799999,ETHUSDT,5m,729387318,729388627,3338.56000000,3343.12,3343.64000000,3337.98000000,524.00200000,1310,True,1750189.54079400,270.99770000,905194.72694900,0,3336.9727999999996
259,1642054800000,1642055099999,ETHUSDT,5m,729388628,729389827,3343.12000000,3341.67,3343.22000000,3340.12000000,377.89760000,1200,True,1262903.84722900,226.09760000,755591.00057100,0,3337.0002000000004
260,1642055100000,1642055399999,ETHUSDT,5m,729389828,729390949,3341.67000000,3341.18,3342.08000000,3340.38000000,442.30110000,1122,True,1477863.99135000,224.25170000,749286.96738400,0,3336.9777999999997
